Issue Id,Parent Id,External ID,Issue Type,Summary,Epic Name,Epic Link,Story Points,Sprint,Labels,Depends On,Description,Acceptance Criteria
4000,,E4,Epic,E4 - Estabilidad operativa post-release,E4 - Estabilidad operativa post-release,, ,P0-Sprint-4,"p0,materialidad,hardening,ops",E3-QA-R1,"Consolidar estabilidad técnica y operativa de materialidad tras release de Sprint 3 con foco en hardening, observabilidad y respuesta a incidentes.","1) Historias E4-H1..E4-H5 completadas; 2) QA Sprint 4 en verde; 3) Evidencia operativa y GO/NO-GO documentados."
4101,,E4-H1-R1,Story,H1 - Hardening de validadores numericos (DecimalField),,E4,5,P0-Sprint-4,"p0,backend,hardening,validacion",E3-QA-R1,"Corregir y estandarizar validadores numericos para eliminar warnings recurrentes en DecimalField y mejorar consistencia de reglas de datos.","1) Validadores usan Decimal consistentemente; 2) Sin warnings de DecimalField en suite objetivo; 3) Sin regresion en flujos críticos."
4201,4101,E4-H1-T1,Sub-task,T1 - Inventario de campos Decimal afectados,,,2,P0-Sprint-4,"p0,backend,analysis",,"Identificar modelos/serializers/validators con min/max en DecimalField y documentar alcance de corrección.","1) Inventario completo generado; 2) Lista priorizada por impacto."
4202,4101,E4-H1-T2,Sub-task,T2 - Corrección de validadores y pruebas unitarias,,,3,P0-Sprint-4,"p0,backend,tests",E4-H1-T1,"Aplicar corrección en tipos Decimal y ajustar pruebas unitarias asociadas.","1) Pruebas unitarias en verde; 2) Warnings eliminados en rutas objetivo."
4102,,E4-H2-R1,Story,H2 - Smoke tests automaticos post-deploy,,,E4,5,P0-Sprint-4,"p0,qa,automatizacion,backend",E4-H1-R1,"Implementar suite corta de verificación funcional para endpoints críticos de materialidad después de despliegue.","1) Script de una instrucción; 2) Cobertura de endpoints críticos; 3) Reporte pass/fail por caso."
4203,4102,E4-H2-T1,Sub-task,T1 - Script smoke backend materialidad,,,2,P0-Sprint-4,"p0,qa,automation",,"Crear script ejecutable con casos mínimos para exportables, matriz, cobertura y cambio de estatus.","1) Ejecución <5 min; 2) Salida clara por caso."
4204,4102,E4-H2-T2,Sub-task,T2 - Evidencia automática de ejecución,,,3,P0-Sprint-4,"p0,qa,docs",E4-H2-T1,"Generar artefacto de evidencia con timestamp y resultado para checklist post-deploy.","1) Evidencia versionable en docs/planning; 2) Formato estándar."
4103,,E4-H3-R1,Story,H3 - Observabilidad operativa (errores y latencia),,E4,8,P0-Sprint-4,"p0,ops,observabilidad,backend",E4-H2-R1,"Definir e instrumentar monitoreo base para detectar incidentes de materialidad mediante métricas de errores y latencia.","1) Métricas mínimas (4xx,5xx,p95,error_rate); 2) Alertas por umbral; 3) Tablero operativo base."
4205,4103,E4-H3-T1,Sub-task,T1 - Definición de SLI/SLO operativos,,,3,P0-Sprint-4,"p0,ops,sli,slo",,"Definir métricas objetivo y umbrales de alerta para endpoints críticos.","1) SLI/SLO aprobados por equipo técnico; 2) Umbrales documentados."
4206,4103,E4-H3-T2,Sub-task,T2 - Instrumentación y tablero operativo,,,5,P0-Sprint-4,"p0,ops,monitoring",E4-H3-T1,"Configurar recolección de métricas y tablero con visualización inicial para operación diaria.","1) Dashboard visible para equipo; 2) Alertas de prueba disparan correctamente."
4104,,E4-H4-R1,Story,H4 - Optimizacion de exportables PDF y ZIP,,,E4,8,P0-Sprint-4,"p0,backend,performance,export",E4-H3-R1,"Optimizar tiempos de respuesta de generación PDF/ZIP manteniendo integridad y trazabilidad documental.","1) Mejora medible de latencia; 2) Sin ruptura de estructura PDF/ZIP; 3) Regresión en verde."
4207,4104,E4-H4-T1,Sub-task,T1 - Perfilado de consultas y cuellos de botella,,,3,P0-Sprint-4,"p0,backend,profiling",,"Medir consultas y tiempos en generación de exportables para identificar optimizaciones.","1) Reporte de hotspots; 2) Plan de optimización aplicado."
4208,4104,E4-H4-T2,Sub-task,T2 - Optimización y benchmark comparativo,,,5,P0-Sprint-4,"p0,backend,benchmark",E4-H4-T1,"Aplicar mejoras en consultas/carga de archivos y comparar tiempos pre/post.","1) Benchmark documentado; 2) Objetivo de mejora alcanzado."
4105,,E4-H5-R1,Story,H5 - Runbook de operacion, incidentes y rollback,,,E4,3,P0-Sprint-4,"p0,docs,ops,runbook",E4-H3-R1,"Crear runbook operativo con flujo de atención de incidentes, criterios de rollback y checklist post-deploy.","1) Matriz severidad P0-P3; 2) Roles y tiempos de respuesta; 3) Comandos de verificación y rollback."
4209,4105,E4-H5-T1,Sub-task,T1 - Redacción runbook operativo,,,2,P0-Sprint-4,"p0,docs,operations",,"Documentar diagnóstico, escalamiento, contención y comunicación de incidentes.","1) Documento completo publicado; 2) Validado por backend y operaciones."
4210,4105,E4-H5-T2,Sub-task,T2 - Checklist post-deploy y contingencia,,,1,P0-Sprint-4,"p0,docs,release",E4-H5-T1,"Agregar checklist operativo de verificación 24h y criterios de rollback.","1) Checklist accionable; 2) Vinculado al acta GO/NO-GO."
4106,,E4-QA-R1,Story,QA - Cierre Sprint 4 estabilidad y operacion,,,E4,5,P0-Sprint-4,"p0,qa,stability,ops",E4-H4-R1,"Consolidar evidencia técnica/funcional de Sprint 4 y emitir recomendación final de salida.","1) Suite técnica en verde; 2) UAT operativo completado; 3) Documento de cierre con GO/NO-GO."
4211,4106,E4-QA-T1,Sub-task,T1 - Ejecución suite técnica consolidada,,,3,P0-Sprint-4,"p0,qa,backend",,"Ejecutar suites de estabilidad y regresión sobre endpoints críticos.","1) Resultado OK sin bloqueantes; 2) Evidencia guardada."
4212,4106,E4-QA-T2,Sub-task,T2 - Consolidación de evidencia y dictamen final,,,2,P0-Sprint-4,"p0,qa,go-no-go",E4-QA-T1,"Concentrar resultados técnicos/funcionales y emitir dictamen final para comité.","1) Dictamen GO/NO-GO firmado; 2) Evidencia referenciada en docs/planning."
